n,e1,e1_pf,e1_n,e2,e2_pf,e2_n,e3,e3_pf,e3_n,e4,e4_pf,e4_n,total,design,oos,win_years,worst_year,ex20,rsi,dev,tov,atr,tp,stop,hold,rsi_exit
4038,-1354147.923532991,0.8953235702198057,1045,-107398.67623606953,0.9911358999514954,1117,-608825.9831163709,0.9335606986110355,934,610885.6424047593,1.0683125484910736,942,-1459486.9404806728,-1461546.5997690605,2059.659288388444,11,-757229.2599145633,-2737995.270550673,35.0,-1.5,2000000000.0,4.5,3.0,3.0,3,0.0
3466,-1186068.0391038414,0.9086894811990872,945,-509082.3404302979,0.9592140352304829,969,-1081437.5107258065,0.8863018668134363,771,50212.14894401815,1.0057095632689257,781,-2726375.7413159274,-1695150.3795341393,-1031225.3617817883,10,-732694.9488710331,-4038700.738905927,35.0,-1.5,2000000000.0,4.5,3.0,3.0,5,50.0
3465,-1212418.0391038414,0.906660902659679,944,-500682.3404302979,0.9598870149763024,969,-1058427.5107258065,0.8887210487066803,771,50212.14894401815,1.0057095632689257,781,-2721315.7413159274,-1713100.3795341393,-1008215.3617817883,10,-732694.9488710331,-4033640.738905927,35.0,-1.5,2000000000.0,4.5,3.0,3.0,5,0.0
4636,-1794557.4176073952,0.8536473197568438,1146,-57399.1086499315,0.9950138263771244,1251,2005.3195903545711,1.0002276516370103,1111,260148.08372924972,1.0293264359479153,1128,-1589803.1229377228,-1851956.5262573268,262153.4033196043,7,-876043.8925153798,-2741456.453687723,35.0,-1.5,2000000000.0,4.5,3.0,4.0,2,50.0
4636,-1794557.4176073952,0.8536473197568438,1146,-57399.1086499315,0.9950138263771244,1251,2005.3195903545711,1.0002276516370103,1111,260148.08372924972,1.0293264359479153,1128,-1589803.1229377228,-1851956.5262573268,262153.4033196043,7,-876043.8925153798,-2741456.453687723,35.0,-1.5,2000000000.0,4.5,3.0,4.0,2,0.0
3849,-1597247.788663985,0.8764705531747595,983,263824.6373976368,1.0221686241535863,1072,-564524.7617932614,0.935733447646334,889,992080.6313044296,1.1134682445849018,905,-905867.2817551801,-1333423.151266348,427555.8695111682,10,-610999.0548869566,-2333358.94582518,35.0,-1.5,2000000000.0,4.5,3.0,4.0,3,50.0
3848,-1597247.788663985,0.8764705531747595,983,272224.6373976368,1.0228744583195193,1072,-564524.7617932614,0.935733447646334,889,998135.6312764296,1.1141973506260343,904,-891412.2817831801,-1325023.151266348,433610.86948316824,10,-610999.0548869566,-2318903.94585318,35.0,-1.5,2000000000.0,4.5,3.0,4.0,3,0.0
3190,-1343494.9244096673,0.8952814280879966,858,466109.18693216017,1.039113482999059,906,-928392.7577775314,0.8974118323725477,718,785991.5517210638,1.0976782814600496,708,-1019786.9435339745,-877385.7374775071,-142401.2060564676,13,-681489.96131628,-2474041.9411239745,35.0,-1.5,2000000000.0,4.5,3.0,4.0,5,50.0
3189,-1365844.9244096673,0.8935808338206196,858,474509.18693216017,1.039818367747962,906,-861122.7577775313,0.90442531440018,717,785991.5517210638,1.0976782814600496,708,-966466.9435339745,-891335.7374775071,-75131.20605646749,13,-681489.96131628,-2420721.9411239745,35.0,-1.5,2000000000.0,4.5,3.0,4.0,5,0.0
4846,-2079530.3518105254,0.8286994335933603,1225,357465.4715635036,1.0322920282983896,1305,-385624.9946707295,0.9567560127087342,1149,830153.6997356019,1.0984397197315767,1167,-1277536.1751821497,-1722064.8802470218,444528.7050648724,11,-746280.2087514976,-2566411.17166165,35.0,-1.5,2000000000.0,4.5,5.0,2.0,2,50.0
4845,-2079530.3518105254,0.8286994335933603,1225,357465.4715635036,1.0322920282983896,1305,-364424.99467072956,0.9590957673244271,1148,830153.6997356019,1.0984397197315767,1167,-1256336.1751821495,-1722064.8802470218,465728.70506487234,11,-746280.2087514976,-2545211.17166165,35.0,-1.5,2000000000.0,4.5,5.0,2.0,2,0.0
4144,-1683119.6992490012,0.8643946745180721,1092,218813.89057218417,1.0193149244349078,1136,-977179.9813984352,0.890922474416488,945,1627943.626011642,1.1974961442346133,971,-813542.1640636097,-1464305.808676817,650763.6446132067,12,-661689.4976908203,-2274992.16031111,35.0,-1.5,2000000000.0,4.5,5.0,2.0,3,50.0
4140,-1657639.699249001,0.866097140346987,1090,227213.89057218417,1.0200564009692767,1136,-955539.9813984352,0.8930330834934679,944,1638393.6259836417,1.1988314400677331,970,-747572.1640916101,-1430425.8086768168,682853.6445852065,12,-665689.4976908203,-2209022.1603391105,35.0,-1.5,2000000000.0,4.5,5.0,2.0,3,0.0
3544,-1548599.4640115597,0.8743625846526537,982,115183.21025440784,1.0099336279400226,1001,-940173.4777080354,0.8923952155297405,778,1481802.9021651414,1.1914983295145565,783,-891786.8293000457,-1433416.2537571518,541629.424457106,12,-696976.8312484969,-2321436.825547546,35.0,-1.5,2000000000.0,4.5,5.0,2.0,5,50.0
3526,-1454853.46432326,0.8810255588339309,977,338221.8766016895,1.029447703873445,996,-995013.9781803752,0.8866398782433125,775,1609659.4021511413,1.2097202955029716,778,-501986.16375080403,-1116631.5877215704,614645.4239707661,13,-655156.8312484969,-1941436.1599983042,35.0,-1.5,2000000000.0,4.5,5.0,2.0,5,0.0
4617,-1838506.570190251,0.8515640156378593,1158,398673.0968655201,1.0350262082612487,1244,-611103.1237486692,0.933563087321679,1104,292373.23305236176,1.0326649846084146,1111,-1758563.3640210386,-1439833.473324731,-318729.8906963074,10,-670515.3403126954,-3112768.361183039,35.0,-1.5,2000000000.0,4.5,5.0,3.0,2,50.0
4616,-1838506.570190251,0.8515640156378593,1158,398673.0968655201,1.0350262082612487,1244,-589903.1237486694,0.9358106511937644,1103,292373.23305236176,1.0326649846084146,1111,-1737363.3640210386,-1439833.473324731,-297529.89069630764,10,-670515.3403126954,-3091568.361183039,35.0,-1.5,2000000000.0,4.5,5.0,3.0,2,0.0
3836,-1341922.6029485748,0.896770891813894,1000,-224230.70136590267,0.981439491681408,1056,-740986.9828849309,0.9180759285325888,885,1026909.3373738797,1.1176058698870446,895,-1280230.9498255285,-1566153.3043144774,285922.3544889488,11,-866969.521956467,-2800210.9475955283,35.0,-1.5,2000000000.0,4.5,5.0,3.0,3,50.0
3835,-1369927.6029485748,0.8946166119953456,1000,-215830.70136590267,0.9821347946391495,1056,-720086.9828849309,0.9202066790830551,885,1033609.3373458798,1.1184111519745223,894,-1272235.9498535288,-1585758.3043144774,313522.35446094885,11,-866969.521956467,-2792215.9476235285,35.0,-1.5,2000000000.0,4.5,5.0,3.0,3,0.0
