tot,y2,n,t,t1,t2,wy,ny,tt3,a,b,hold
-565.1999999993532,-3816.4499999992786,1005,-0.01709845703871089,0.9137854064812486,-0.4315878161967817,5,11,-27901.64999999944,879,914,35
-3951.0000000005202,-8554.649999999829,1031,-0.11941538760673007,0.5241101499766995,-0.3775901880464967,4,11,-31840.95000000071,879,915,36
-11415.599999999922,-1628.249999999903,1083,-0.3245396065995577,0.6329565567010286,-0.6396319099851595,5,11,-38828.550000000105,879,916,37
-10862.700000000248,-2614.4999999995835,1083,-0.29416127501855305,0.39025315655399445,-0.48493216620723284,5,11,-42252.150000000314,879,917,38
-20364.299999999646,-4862.99999999965,1081,-0.545924971557524,0.39178196725261155,-0.764900572265586,6,11,-52472.849999999744,879,918,39
-19510.050000000643,-1199.8500000004642,1076,-0.5409715891198394,0.3312704215668715,-0.7337632285721832,4,11,-50444.55000000063,879,919,40
-44048.25000000083,-17632.650000000016,1055,-1.2216998737550393,0.619643730764605,-1.637446084054848,3,11,-72167.70000000094,879,920,41
-49632.29999999919,-22153.649999999354,828,-2.4719050686802553,-0.251409288091676,-2.6252197202491074,3,11,-62583.2999999992,880,896,16
-44552.999999999396,-21635.699999999386,882,-1.9857304897336516,-0.4181597285568055,-1.9740940029647773,3,11,-60095.99999999939,880,897,17
-64502.69999999936,-36619.34999999947,853,-3.0089782718384006,-0.38255389587205624,-3.1147726670667004,3,11,-77898.14999999938,880,898,18
-54090.29999999958,-26285.549999999275,897,-2.417396580253043,0.3635509509552187,-2.8431140206379606,3,11,-67683.29999999955,880,899,19
-24993.59999999868,-9493.94999999915,1115,-0.9421135381896406,0.5538911001334489,-1.2644008384615124,5,11,-40791.59999999893,880,900,20
13707.750000001088,-2720.699999999064,1205,0.48074142549665866,2.416471097899504,-0.5955549334998685,5,11,-1003.1999999989057,880,901,21
7207.2000000004955,-11340.599999999671,1164,0.23296468641571855,2.106465887601619,-0.6527332764328138,6,11,-16065.749999999418,880,902,22
9479.250000000447,2580.900000000449,1164,0.27357619533692895,1.3068711731926668,-0.23166459721502758,5,11,-21755.24999999971,880,903,23
8829.450000000019,-7771.6499999998305,1143,0.26940466700478755,1.9332625843794735,-0.555722385737985,7,11,-15950.550000000105,880,904,24
