code,start,sig,tov5,last_flag
4935,2026-07-15,2026-07-17,21.2737064,2026-07-23
4937,2023-05-12,2023-05-25,1.4739782,2023-05-30
4960,2026-01-30,2026-02-18,4.6605364,2026-02-24
4999,2017-11-09,2017-11-16,0.7085,2017-11-21
5009,2019-07-08,2019-07-10,27.2154682,2019-07-16
5025,2022-05-24,2022-06-08,0.6133632,2022-06-13
5025,2023-06-23,2023-06-27,3.6108768,2023-07-03
5025,2024-09-18,2024-09-25,0.8992328,2024-09-30
5032,2022-10-04,2022-10-17,40.179768,2022-10-25
5131,2024-05-02,2024-05-08,9.6875224,2024-05-10
5132,2023-01-31,2023-02-17,7.5307428,2023-02-28
5132,2023-03-08,2023-03-13,26.62627284,2023-03-16
5189,2023-04-12,2023-04-19,2.378826,2023-04-24
5212,2020-09-04,2020-09-11,1.9377182,2020-09-25
5212,2020-11-13,2020-12-11,7.2784412,2020-12-16
5216,2018-10-03,2018-10-10,0.9681672,2018-10-25
5216,2024-04-23,2024-05-08,5.9002878,2024-05-13
5216,2024-05-30,2024-06-24,14.0663044,2024-06-27
5240,2024-02-26,2024-03-04,5.1445434,2024-03-13
5240,2026-07-17,2026-07-22,6.4137382,2026-07-31
5242,2024-05-31,2024-06-06,2.0471662,2024-06-11
5243,2023-02-16,2023-02-24,9.6674968,2023-03-01
