n1,n2,e1,e1_pf,e2,e2_pf,e3,e3_pf,e4,e4_pf,total,design,oos,win_years,worst_year,worst_month,ex3,pf1,avg1,gain,atr,dev,vr,rng,tov,rank,n_cand
3812,2142,10237351.376949854,1.5169591667037337,9688048.44274905,1.2471102986141138,3306446.342896037,1.2053822543896802,5797123.566370952,1.3424665792839416,29028969.728965893,19925399.819698904,9103569.90926699,22,-2013574.0732801275,-1068325.0,27889903.066265892,1.3294191933188664,0.6639197865691998,7.0,4.0,8.0,4.0,5.0,300000000.0,乖離のみ,11394
3812,2152,10077927.204744112,1.5031328518026132,12709059.793492887,1.3501999912648484,3329316.651050809,1.211813147948457,6372326.106381201,1.3800686274875247,32488629.75566901,22786986.998237,9701642.75743201,24,-394912.6759959998,-491227.77705088706,31416163.092969008,1.3932177512860915,0.7526739142596776,7.0,4.0,8.0,4.0,5.0,300000000.0,ATRのみ,11394
3812,2142,9391856.193039991,1.468507025708323,12626770.483892031,1.3411690065759705,3060277.3400411475,1.195445250919611,5307639.4375282,1.3109982238862246,30386543.45450137,22018626.676932022,8367916.777569348,24,-297014.4866779994,-566343.8202307882,29247476.79180137,1.3569003159589164,0.6895245104514641,7.0,4.0,8.0,4.0,5.0,300000000.0,前日比のみ,11394
3812,2151,10617779.270901695,1.5348617793719666,12427247.02535266,1.32627524928017,2640724.394897147,1.1597393089994,6245288.009892201,1.361876479804475,31931038.701043703,23045026.296254355,8886012.404789347,23,-847159.0985919996,-1005816.6658513369,30791972.0383437,1.3554661171069688,0.7255205044757863,7.0,4.0,8.0,4.0,5.0,300000000.0,乖離×ATR×前日比,11394
3344,1670,7978774.578611407,1.4859816734196014,10961873.05684721,1.333308278884782,2113617.5859969994,1.161525748648977,6214322.297400201,1.4075866948540934,27268587.518855818,18940647.63545862,8327939.8833972,25,-98894.92560025459,-702925.00055,26175320.856155816,1.349146305965779,0.6936567741064257,7.0,4.0,8.0,4.0,5.0,500000000.0,乖離×ATR(現行),8864
3344,1668,7421133.998782253,1.4499981574727856,9332881.065514304,1.278073733905832,1560610.3521982278,1.1166720250041893,4376216.90155395,1.274765456613975,22690842.31804873,16754015.064296557,5936827.253752178,22,-1027025.8087324377,-752325.00022,21600575.65534873,1.2803393796475906,0.5638606981938175,7.0,4.0,8.0,4.0,5.0,500000000.0,乖離のみ,8864
3344,1674,8776972.915891835,1.547738763695456,12159124.951847546,1.3861999021427378,1800853.4167879988,1.1375754200027834,5662367.0586542,1.370268588178771,28399318.34318158,20936097.86773938,7463220.475442199,25,-95009.08594199999,-515723.3335629999,27375651.68048158,1.393837755996911,0.7523690559390344,7.0,4.0,8.0,4.0,5.0,500000000.0,ATRのみ,8864
3344,1665,7864218.1669182945,1.4878303832230246,11800301.019235278,1.3679511722447948,1541376.1573793371,1.1186565641427364,4793632.772455201,1.305306466507961,25999528.115988106,19664519.186153572,6335008.929834537,23,-87828.8452029998,-600650.0004799999,24889261.453288104,1.3614569508218277,0.6874834100351093,7.0,4.0,8.0,4.0,5.0,500000000.0,前日比のみ,8864
3344,1670,7896822.355795614,1.4790852220244977,12593625.72097537,1.3880171499330596,1467719.497739337,1.1082609564943673,5109348.010603201,1.3197508150293558,27067515.58511352,20490448.076770984,6577067.508342538,24,-216830.50484299977,-811150.00024,25974248.92241352,1.3482577854437694,0.6992944737270963,7.0,4.0,8.0,4.0,5.0,500000000.0,乖離×ATR×前日比,8864
2549,1067,6062911.420445238,1.6039473976998317,11661443.548300136,1.5445147634016103,1316710.850371786,1.1499472386348506,2958108.091688951,1.224629903633972,21999173.910806112,17724354.968745373,4274818.942060737,21,-900528.040547,-500050.00023999996,20990573.910806112,1.4102211359458607,0.7679591233824152,7.0,4.0,8.0,4.0,5.0,1000000000.0,乖離×ATR(現行),5812
