signal_date,entry_date,exit_date,exit_type,ticker,name,direction,entry_open,pnl_pct,win
2025-05-27,2025-05-28,2025-06-04,MAXHOLD,4042.T,東ソー,SELL,2129.0,1.644,True
2025-05-29,2025-05-30,2025-06-06,MAXHOLD,2809.T,キユーピー,SELL,3360.0,0.298,True
2025-06-03,2025-06-04,2025-06-11,MAXHOLD,3861.T,王子ホールディングス,SELL,689.7,-1.464,False
2025-06-03,2025-06-04,2025-06-05,STOP,4151.T,協和キリン,SELL,2375.5,-3.0,False
2025-06-05,2025-06-06,2025-06-09,TP,2413.T,エムスリー,SELL,2179.5,5.0,True
2025-06-05,2025-06-06,2025-06-12,RSI,2593.T,伊藤園第１種優先株式,SELL,3371.0,2.907,True
2025-06-06,2025-06-09,2025-06-16,MAXHOLD,1878.T,大東建託,BUY,3097.12,1.929,True
2025-06-06,2025-06-09,2025-06-16,MAXHOLD,4043.T,トクヤマ,SELL,2967.5,2.494,True
2025-06-09,2025-06-10,2025-06-17,MAXHOLD,1928.T,積水ハウス,BUY,3065.0,-1.501,False
2025-06-09,2025-06-10,2025-06-13,TP,2413.T,エムスリー,SELL,2108.0,5.0,True
2025-06-09,2025-06-10,2025-06-17,MAXHOLD,4004.T,レゾナック・ホールディングス,SELL,3220.0,2.857,True
2025-06-09,2025-06-10,2025-06-17,MAXHOLD,4091.T,日本酸素ホールディングス,SELL,5319.0,-2.162,False
2025-06-10,2025-06-11,2025-06-18,STOP,1812.T,鹿島建設,SELL,3663.0,-3.0,False
2025-06-12,2025-06-13,2025-06-20,RSI,1911.T,住友林業,SELL,1453.13,3.349,True
2025-06-13,2025-06-16,2025-06-23,MAXHOLD,4088.T,エア・ウォーター,SELL,2103.0,-0.88,False
2025-06-16,2025-06-17,2025-06-19,STOP,3923.T,ラクス,SELL,1155.0,-3.0,False
2025-06-17,2025-06-18,2025-06-24,TP,1605.T,ＩＮＰＥＸ,SELL,2129.0,5.0,True
2025-06-17,2025-06-18,2025-06-24,TP,1662.T,石油資源開発,SELL,1067.0,5.0,True
2025-06-17,2025-06-18,2025-06-20,TP,4194.T,ビジョナル,SELL,11065.0,5.0,True
2025-06-18,2025-06-19,2025-06-24,STOP,4194.T,ビジョナル,SELL,10580.0,-3.0,False
2025-06-19,2025-06-20,2025-06-25,STOP,4186.T,東京応化工業,SELL,3921.0,-3.0,False
2025-06-20,2025-06-23,2025-06-24,TP,1605.T,ＩＮＰＥＸ,SELL,2172.0,5.0,True
2025-06-20,2025-06-23,2025-06-30,MAXHOLD,1801.T,大成建設,SELL,8337.0,-0.756,False
2025-06-20,2025-06-23,2025-06-30,MAXHOLD,1812.T,鹿島建設,SELL,3784.0,0.555,True
2025-06-20,2025-06-23,2025-06-30,MAXHOLD,2181.T,パーソルホールディングス,SELL,283.1,0.565,True
2025-06-20,2025-06-23,2025-06-30,MAXHOLD,3861.T,王子ホールディングス,SELL,720.3,-0.764,False
2025-06-24,2025-06-25,2025-06-26,STOP,2267.T,ヤクルト本社,BUY,2808.0,-3.0,False
2025-06-24,2025-06-25,2025-07-02,STOP,3861.T,王子ホールディングス,SELL,710.6,-3.0,False
2025-06-25,2025-06-26,2025-07-02,STOP,1893.T,五洋建設,SELL,899.7,-3.0,False
2025-06-25,2025-06-26,2025-07-03,TP,2695.T,くら寿司,SELL,3545.0,5.0,True
2025-06-30,2025-07-01,2025-07-08,MAXHOLD,2914.T,日本たばこ産業,BUY,4250.0,-1.694,False
2025-06-30,2025-07-01,2025-07-08,MAXHOLD,4186.T,東京応化工業,SELL,4150.0,1.59,True
2025-07-01,2025-07-02,2025-07-09,MAXHOLD,2914.T,日本たばこ産業,BUY,4230.0,-0.851,False
2025-07-01,2025-07-02,2025-07-03,STOP,4004.T,レゾナック・ホールディングス,SELL,3234.0,-3.0,False
2025-07-01,2025-07-02,2025-07-09,MAXHOLD,4063.T,信越化学工業,SELL,4757.0,0.694,True
2025-07-01,2025-07-02,2025-07-03,STOP,4183.T,三井化学,SELL,1619.65,-3.0,False
2025-07-01,2025-07-02,2025-07-09,MAXHOLD,4204.T,積水化学工業,SELL,2590.0,0.869,True
2025-07-02,2025-07-03,2025-07-10,MAXHOLD,4063.T,信越化学工業,SELL,4798.0,3.085,True
2025-07-02,2025-07-03,2025-07-10,MAXHOLD,4204.T,積水化学工業,SELL,2599.0,1.693,True
2025-07-04,2025-07-07,2025-07-08,RSI,1911.T,住友林業,SELL,1435.5,1.602,True
2025-07-04,2025-07-07,2025-07-11,RSI,1928.T,積水ハウス,SELL,3188.0,1.255,True
2025-07-04,2025-07-07,2025-07-14,MAXHOLD,2802.T,味の素,SELL,3955.0,1.593,True
2025-07-04,2025-07-07,2025-07-14,MAXHOLD,2809.T,キユーピー,SELL,3950.0,2.405,True
2025-07-08,2025-07-09,2025-07-16,MAXHOLD,2809.T,キユーピー,SELL,3979.0,2.136,True
2025-07-08,2025-07-09,2025-07-10,TP,3549.T,クスリのアオキホールディングス,SELL,4044.0,5.0,True
2025-07-08,2025-07-09,2025-07-11,STOP,4004.T,レゾナック・ホールディングス,SELL,3451.0,-3.0,False
2025-07-09,2025-07-10,2025-07-17,MAXHOLD,2809.T,キユーピー,SELL,3900.0,-0.077,False
2025-07-09,2025-07-10,2025-07-14,TP,3349.T,コスモス薬品,SELL,9273.0,5.0,True
2025-07-10,2025-07-11,2025-07-18,MAXHOLD,2587.T,サントリー食品インターナショナル,BUY,4460.0,1.906,True
2025-07-10,2025-07-11,2025-07-18,MAXHOLD,2809.T,キユーピー,SELL,3891.0,-0.797,False
2025-07-11,2025-07-14,2025-07-18,STOP,1721.T,コムシスホールディングス,SELL,3390.0,-3.0,False
2025-07-11,2025-07-14,2025-07-15,STOP,4182.T,三菱瓦斯化学,SELL,2453.5,-3.0,False
2025-07-14,2025-07-15,2025-07-23,RSI,2587.T,サントリー食品インターナショナル,BUY,4489.0,2.205,True
