clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,11,45,15,売,2785,0.003019074659085811,-0.001980925340914189,1.7643076053352174,1.5980185644722822,0.8863793476428548,7,11,False
ロンドン,12,0,15,買,2785,0.0031200070069093903,-0.0018799929930906098,1.6172604671187873,0.9009790701840139,1.3892933953652005,5,11,False
ロンドン,12,0,15,売,2785,-0.0031200070069093903,-0.00812000700690939,-1.6172604671187873,-0.9009790701840139,-1.3892933953652005,6,11,False
ロンドン,12,15,15,買,2785,-0.0010570132944637816,-0.0060570132944637815,-0.620552741340509,-0.99296869294027,0.058562249314369624,3,11,False
ロンドン,12,15,15,売,2785,0.0010570132944637816,-0.003942986705536219,0.620552741340509,0.99296869294027,-0.058562249314369624,8,11,False
ロンドン,12,30,15,買,2785,0.00032872052259488947,-0.004671279477405111,0.16226938018736878,-0.28079822866692833,0.4405923567879843,7,11,False
ロンドン,12,30,15,売,2785,-0.00032872052259488947,-0.00532872052259489,-0.16226938018736878,0.28079822866692833,-0.4405923567879843,4,11,False
ロンドン,12,45,15,買,2785,-0.0010097274480344114,-0.006009727448034411,-0.555766154222478,-0.5235987766979653,-0.2805598150964857,3,11,False
ロンドン,12,45,15,売,2785,0.0010097274480344114,-0.003990272551965589,0.555766154222478,0.5235987766979653,0.2805598150964857,8,11,False
ロンドン,13,0,15,買,2785,0.0008084024513956094,-0.004191597548604391,0.34718206840618676,0.42419687375837317,0.0814358733821884,8,11,False
ロンドン,13,0,15,売,2785,-0.0008084024513956094,-0.005808402451395609,-0.34718206840618676,-0.42419687375837317,-0.0814358733821884,3,11,False
ロンドン,13,15,15,買,2785,-0.004885495326995568,-0.009885495326995567,-1.8187277256149885,-0.16441349956408843,-2.2302740718298097,4,11,False
ロンドン,13,15,15,売,2785,0.004885495326995568,-0.00011450467300443221,1.8187277256149885,0.16441349956408843,2.2302740718298097,7,11,False
ロンドン,13,30,15,買,2785,0.004939465983258879,-6.053401674112075e-05,1.1646904654216959,0.42573293859410904,1.128963940817656,7,11,False
ロンドン,13,30,15,売,2785,-0.004939465983258879,-0.009939465983258879,-1.1646904654216959,-0.42573293859410904,-1.128963940817656,4,11,False
ロンドン,13,45,15,買,2785,-0.0006768483595169718,-0.005676848359516972,-0.24339718902720228,0.11977031972263001,-0.39930518830423334,5,11,False
ロンドン,13,45,15,売,2785,0.0006768483595169718,-0.0043231516404830285,0.24339718902720228,-0.11977031972263001,0.39930518830423334,6,11,False
ロンドン,14,0,15,買,2785,0.0019397418715156635,-0.0030602581284843366,0.664968850590565,0.1574463328353112,0.7459067505365723,4,11,False
ロンドン,14,0,15,売,2785,-0.0019397418715156635,-0.006939741871515664,-0.664968850590565,-0.1574463328353112,-0.7459067505365723,7,11,False
ロンドン,14,15,15,買,2785,-1.1942414428602442e-05,-0.005011942414428603,-0.004854122541080409,1.4125621203601453,-1.157235096639816,4,11,False
ロンドン,14,15,15,売,2785,1.1942414428602442e-05,-0.0049880575855713975,0.004854122541080409,-1.4125621203601453,1.157235096639816,7,11,False
ロンドン,14,30,15,買,2785,-0.0011941485134134178,-0.006194148513413418,-0.34441667616107274,-1.1769929585157881,0.4893189884637401,5,11,False
ロンドン,14,30,15,売,2785,0.0011941485134134178,-0.0038058514865865825,0.34441667616107274,1.1769929585157881,-0.4893189884637401,6,11,False
ロンドン,14,45,15,買,2785,-0.00797612639523987,-0.01297612639523987,-2.4359591691509226,-2.699905847247581,-0.9072274110145823,2,11,False
ロンドン,14,45,15,売,2785,0.00797612639523987,0.0029761263952398703,2.4359591691509226,2.699905847247581,0.9072274110145823,9,11,False
ロンドン,15,0,15,買,2785,0.004206384911480594,-0.0007936150885194063,1.1809137522508586,0.7751274549798555,0.8927703942370719,8,11,False
ロンドン,15,0,15,売,2785,-0.004206384911480594,-0.009206384911480594,-1.1809137522508586,-0.7751274549798555,-0.8927703942370719,3,11,False
ロンドン,15,15,15,買,2785,0.00014366711222148348,-0.004856332887778517,0.04522360254440523,0.7135187719429013,-0.48452860867817354,7,11,False
ロンドン,15,15,15,売,2785,-0.00014366711222148348,-0.005143667112221483,-0.04522360254440523,-0.7135187719429013,0.48452860867817354,4,11,False
ロンドン,15,30,15,買,2785,-0.002964260079424849,-0.00796426007942485,-1.0519288743205057,-0.8964051330487633,-0.626841664649875,4,11,False
ロンドン,15,30,15,売,2785,0.002964260079424849,-0.002035739920575151,1.0519288743205057,0.8964051330487633,0.626841664649875,7,11,False
ロンドン,15,45,15,買,2785,0.003421442802944338,-0.0015785571970556621,1.323226105845271,2.357863001178669,-0.26737823471061806,8,11,False
ロンドン,15,45,15,売,2785,-0.003421442802944338,-0.008421442802944337,-1.323226105845271,-2.357863001178669,0.26737823471061806,3,11,False
ロンドン,16,0,15,買,2785,0.0040025738577160975,-0.0009974261422839026,1.467991478857671,0.9030034516991355,1.1597251181763062,7,11,False
ロンドン,16,0,15,売,2785,-0.0040025738577160975,-0.009002573857716098,-1.467991478857671,-0.9030034516991355,-1.1597251181763062,4,11,False
ロンドン,16,15,15,買,2785,0.0020142404933345356,-0.0029857595066654645,0.8957749351084323,0.9717809084328163,0.3612646304023668,7,11,False
ロンドン,16,15,15,売,2785,-0.0020142404933345356,-0.007014240493334536,-0.8957749351084323,-0.9717809084328163,-0.3612646304023668,4,11,False
ロンドン,16,30,15,買,2785,-0.000931498746846226,-0.005931498746846226,-0.4348334086911668,-1.3658670985795316,0.6447525386583255,3,11,False
ロンドン,16,30,15,売,2785,0.000931498746846226,-0.004068501253153774,0.4348334086911668,1.3658670985795316,-0.6447525386583255,8,11,False
ロンドン,16,45,15,買,2785,0.0004945441112958434,-0.0045054558887041565,0.260015784401053,-0.09146894707645824,0.43828215500402007,6,11,False
ロンドン,16,45,15,売,2785,-0.0004945441112958434,-0.005494544111295844,-0.260015784401053,0.09146894707645824,-0.43828215500402007,5,11,False
ロンドン,17,0,15,買,2785,-0.002908831329234219,-0.00790883132923422,-1.4549850387093624,-0.33001754982623466,-1.5747549054136314,4,11,False
ロンドン,17,0,15,売,2785,0.002908831329234219,-0.002091168670765781,1.4549850387093624,0.33001754982623466,1.5747549054136314,7,11,False
ロンドン,17,15,15,買,2785,-0.0029619487265400545,-0.007961948726540054,-1.582080979781507,-0.9849393363388755,-1.242915675107182,3,11,False
ロンドン,17,15,15,売,2785,0.0029619487265400545,-0.0020380512734599456,1.582080979781507,0.9849393363388755,1.242915675107182,8,11,False
ロンドン,17,30,15,買,2785,-0.003060366098234903,-0.008060366098234902,-1.7449684050291343,-0.5110983834901557,-1.8081723312845097,3,11,False
ロンドン,17,30,15,売,2785,0.003060366098234903,-0.0019396339017650971,1.7449684050291343,0.5110983834901557,1.8081723312845097,8,11,False
ロンドン,17,45,15,買,2785,0.0018730933689497583,-0.003126906631050242,1.186144029925226,-0.013628570390012102,1.6373265108127615,5,11,False
ロンドン,17,45,15,売,2785,-0.0018730933689497583,-0.006873093368949758,-1.186144029925226,0.013628570390012102,-1.6373265108127615,6,11,False
ロンドン,18,0,15,買,2785,0.001773596008777574,-0.0032264039912224263,0.9290706808517253,0.821444719999491,0.48653913632883905,6,11,False
ロンドン,18,0,15,売,2785,-0.001773596008777574,-0.006773596008777574,-0.9290706808517253,-0.821444719999491,-0.48653913632883905,5,11,False
ロンドン,18,15,15,買,2785,-0.0031840141192213452,-0.008184014119221344,-1.7175741871031656,-1.1976635675820513,-1.2323054150466022,5,11,False
ロンドン,18,15,15,売,2785,0.0031840141192213452,-0.0018159858807786549,1.7175741871031656,1.1976635675820513,1.2323054150466022,6,11,False
ロンドン,18,30,15,買,2785,0.003833366744172426,-0.0011666332558275742,1.9150916893957743,0.8054071348186368,1.7881644508629477,8,11,False
ロンドン,18,30,15,売,2785,-0.003833366744172426,-0.008833366744172426,-1.9150916893957743,-0.8054071348186368,-1.7881644508629477,3,11,False
ロンドン,18,45,15,買,2785,0.0013010064131802794,-0.0036989935868197207,0.7618005479579593,0.3739966330997677,0.6770978299132809,7,11,False
ロンドン,18,45,15,売,2785,-0.0013010064131802794,-0.0063010064131802795,-0.7618005479579593,-0.3739966330997677,-0.6770978299132809,4,11,False
ロンドン,19,0,15,買,2785,-0.00038576709827813744,-0.005385767098278138,-0.16693614071560348,0.19239331636964102,-0.37250240281600794,5,11,False
ロンドン,19,0,15,売,2785,0.00038576709827813744,-0.004614232901721862,0.16693614071560348,-0.19239331636964102,0.37250240281600794,6,11,False
ロンドン,19,15,15,買,2785,-0.0007307798937113477,-0.005730779893711348,-0.45320802384067427,-0.6249603053536806,-0.032526519300673365,4,11,False
ロンドン,19,15,15,売,2785,0.0007307798937113477,-0.004269220106288652,0.45320802384067427,0.6249603053536806,0.032526519300673365,7,11,False
ロンドン,19,30,15,買,2785,0.0023951132619739065,-0.0026048867380260936,1.2068758265242479,1.4214669381346154,0.3746684382002173,6,11,False
ロンドン,19,30,15,売,2785,-0.0023951132619739065,-0.007395113261973906,-1.2068758265242479,-1.4214669381346154,-0.3746684382002173,5,11,False
ロンドン,19,45,15,買,2785,-0.0014122199892797004,-0.0064122199892797,-0.8201664295655174,-0.53147976181728,-0.6305767762722475,4,11,False
ロンドン,19,45,15,売,2785,0.0014122199892797004,-0.0035877800107202997,0.8201664295655174,0.53147976181728,0.6305767762722475,7,11,False
ロンドン,20,0,15,買,2785,0.000630577693413991,-0.004369422306586009,0.3792423571874615,-0.5689508135018744,0.9704191264215917,4,11,False
ロンドン,20,0,15,売,2785,-0.000630577693413991,-0.0056305776934139915,-0.3792423571874615,0.5689508135018744,-0.9704191264215917,7,11,False
ロンドン,20,15,15,買,2785,-0.0005513335021275273,-0.005551333502127527,-0.3596211902059441,-1.5053841300302229,0.6500593162744266,5,11,False
ロンドン,20,15,15,売,2785,0.0005513335021275273,-0.004448666497872473,0.3596211902059441,1.5053841300302229,-0.6500593162744266,6,11,False
ロンドン,20,30,15,買,2785,0.002923590425056516,-0.0020764095749434843,1.9421838371210491,1.752225995931798,1.0754993927721095,7,11,False
ロンドン,20,30,15,売,2785,-0.002923590425056516,-0.007923590425056515,-1.9421838371210491,-1.752225995931798,-1.0754993927721095,4,11,False
ロンドン,20,45,15,買,2785,-0.0016226176244988,-0.0066226176244988,-1.0002177529104166,-1.1959831579228337,-0.22033295968451147,3,11,False
ロンドン,20,45,15,売,2785,0.0016226176244988,-0.0033773823755012004,1.0002177529104166,1.1959831579228337,0.22033295968451147,8,11,False
ロンドン,21,0,15,買,2785,-0.00021434997903467827,-0.005214349979034678,-0.1972708828211056,0.005348641942111611,-0.2674822922312948,6,11,False
ロンドン,21,0,15,売,2785,0.00021434997903467827,-0.004785650020965322,0.1972708828211056,-0.005348641942111611,0.2674822922312948,5,11,False
ロンドン,21,15,15,買,2785,-0.0010121203152665067,-0.006012120315266507,-1.094741027717356,-1.0121686498352307,-0.6085456270027857,5,11,False
ロンドン,21,15,15,売,2785,0.0010121203152665067,-0.003987879684733494,1.094741027717356,1.0121686498352307,0.6085456270027857,6,11,False
ロンドン,21,30,15,買,2785,-0.0011538800939489542,-0.006153880093948954,-1.1642415002631696,-0.2590458899173462,-1.2644609872714367,5,11,False
ロンドン,21,30,15,売,2785,0.0011538800939489542,-0.003846119906051046,1.1642415002631696,0.2590458899173462,1.2644609872714367,6,11,False
ロンドン,21,45,15,買,2785,-0.014997487046801941,-0.019997487046801942,-13.066917133490625,-16.829886308014977,-2.404377910903804,2,11,False
ロンドン,21,45,15,売,2785,0.014997487046801941,0.00999748704680194,13.066917133490625,16.829886308014977,2.404377910903804,9,11,False
ロンドン,22,0,15,買,2785,0.0010192429026630908,-0.003980757097336909,1.8671582052233673,1.399813246323806,1.2475159447747153,9,11,True
