A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
US500Cash,US30Cash,24,2.0,6,2559,-0.014097101800685002,-3.629020856593931,-0.019872579563286353,-0.009471842339854363,2,11,-36.07448350795292
US500Cash,US30Cash,24,2.0,24,2067,-0.014684716526809145,-2.2272143253777643,-0.023904212475465914,-0.007114170073815216,3,11,-30.353309060914505
US500Cash,US30Cash,24,2.0,72,1830,-0.018420863711959674,-2.368970268304263,-0.02612722662476551,-0.012052731484611142,3,11,-33.7101805928862
US500Cash,US30Cash,24,2.5,6,1735,-0.015782864767936767,-3.414698489345254,-0.021694059637907846,-0.011077162019481529,1,11,-27.38327037237029
US500Cash,US30Cash,24,2.5,24,1529,-0.018938845339810717,-2.37867131322222,-0.02655548916848311,-0.012789710901296238,3,11,-28.957494524570585
US500Cash,US30Cash,24,2.5,72,1394,-0.018299804590279214,-1.9709583782861644,-0.028016260177478974,-0.010287544092980988,5,11,-25.509927598849224
US500Cash,US30Cash,72,1.5,6,2160,-0.016989720981779186,-3.954106968665691,-0.025483347942083866,-0.009319264916305798,2,11,-36.69779732064304
US500Cash,US30Cash,72,1.5,24,1395,-0.021852724920602296,-2.264284450274795,-0.024953006757088014,-0.019139978313677298,3,11,-30.484551264240203
US500Cash,US30Cash,72,1.5,72,1008,-0.038339229043498076,-2.5622416629979097,-0.03771575218379487,-0.038894860391263573,3,11,-38.64594287584606
US500Cash,US30Cash,72,2.0,6,1445,-0.014251021610288725,-2.596945710581138,-0.014427806335442214,-0.014089904314480846,3,11,-20.592726226867207
US500Cash,US30Cash,72,2.0,24,979,-0.02281232039976245,-1.8550660984450347,-0.018069356020922633,-0.026813917465148954,4,11,-22.33326167136744
US500Cash,US30Cash,72,2.0,72,772,-0.04473911130525755,-2.4267151036746233,-0.037404299369662365,-0.05095088983444581,3,11,-34.53859392765883
US500Cash,US30Cash,72,2.5,6,791,-0.018708857280820505,-2.598267361313195,-0.01506915877028973,-0.021891437258038163,5,11,-14.798706109129018
US500Cash,US30Cash,72,2.5,24,635,-0.023901903720495988,-1.4631374780555189,-0.0016118477002658603,-0.043119723280459786,4,11,-15.177708862514953
US500Cash,US30Cash,72,2.5,72,556,-0.03870629005247824,-1.7203164672682232,-0.03816336309841294,-0.03916958771994729,3,11,-21.5206972691779
US500Cash,US30Cash,168,1.5,6,1397,-0.017133129463797518,-3.1657067075291065,-0.022302219239379417,-0.012712287743379534,2,11,-23.934981860925134
US500Cash,US30Cash,168,1.5,24,932,-0.014615295887834969,-1.1658181755719907,-0.04283690013048426,0.008137005207014086,4,11,-13.62145576746219
