n,mean,t,ta,tb,wy,yrs,ann,sym,rule,cost
6599,-0.03332855719305768,-5.628003856176881,-3.415212549608785,-4.478363298887658,0.038461538461538464,26,-8.459044189114909,EURNOK.,順張z1_5日,0.09077765799232365
6599,-0.012957459793594745,-2.0152979231687134,-2.212701630404151,-0.7785010143290675,0.34615384615384615,26,-3.2887029683819886,EURNOK.,ドンチャン20,0.09077765799232365
6599,-0.01868789717206703,-2.916449338048483,-1.4021846531472124,-2.6258076718058683,0.23076923076923078,26,-4.74313205532578,EURNOK.,ドンチャン55,0.09077765799232365
6599,-0.020185579795358132,-6.925395631804708,-6.064618674978986,-3.929296177492258,0.07692307692307693,26,-5.123255425752627,EURNOK.,月曜買,0.09077765799232365
6599,-0.020478730951763165,-7.022985864127573,-4.742029972701175,-5.188640654060666,0.11538461538461539,26,-5.197659444257121,EURNOK.,月曜売,0.09077765799232365
6599,-0.018130475526370367,-6.731378101006361,-4.326286959505274,-5.15726186455871,0.07692307692307693,26,-4.601654153789155,EURNOK.,火曜買,0.09077765799232365
6599,-0.022626254108812572,-8.337148182862567,-7.23697273344675,-4.764334419197558,0.07692307692307693,26,-5.74271734092516,EURNOK.,火曜売,0.09077765799232365
6599,-0.02683086122115054,-8.734272689354157,-6.179551616633438,-6.183205714448163,0.038461538461538464,26,-6.809878969168168,EURNOK.,水曜買,0.09077765799232365
6599,-0.013833449525970763,-4.58165594621175,-3.684323936696359,-2.8356022197377886,0.11538461538461539,26,-3.5110359008415792,EURNOK.,水曜売,0.09077765799232365
6599,-0.018273528538916242,-5.774904773029574,-5.101875042863152,-3.198437016057547,0.11538461538461539,26,-4.637962108781087,EURNOK.,木曜買,0.09077765799232365
6599,-0.02229836332014342,-7.012184782667025,-4.573473516797825,-5.315627283668518,0.038461538461538464,26,-5.659496136524092,EURNOK.,木曜売,0.09077765799232365
6599,-0.01980486451713373,-7.256924610646719,-6.959863187824947,-4.01430234770326,0.15384615384615385,26,-5.02662695956021,EURNOK.,金曜買,0.09077765799232365
6599,-0.02082863993396702,-7.619159320280627,-6.1792695585017245,-5.008513389802375,0.11538461538461539,26,-5.2864690355480155,EURNOK.,金曜売,0.09077765799232365
6599,-0.006547432772961285,-3.711719135513754,-4.175256084273691,-1.2145575154127966,0.3076923076923077,26,-1.6617888026450585,EURNOK.,月末2日買,0.09077765799232365
6599,-0.0038871801595625126,-2.1997657295547253,-0.185241252149182,-2.7793447599878585,0.38461538461538464,26,-0.9865962258828083,EURNOK.,月末2日売,0.09077765799232365
6599,-0.007783197231057693,-4.1021621734274225,-3.5886586868661974,-2.260010955354082,0.2692307692307692,26,-1.9754353279903734,EURNOK.,月初2日買,0.09077765799232365
6599,-0.002651415701466106,-1.4216008512700273,-0.44736889871885754,-1.5210576288859328,0.34615384615384615,26,-0.6729497005374934,EURNOK.,月初2日売,0.09077765799232365
5816,-0.015901138944618084,-2.3697039055951232,-1.1850369963196714,-2.699093987448551,0.21739130434782608,23,-4.020914091386902,EURPLN.,MA5/20,0.107094814583539
5816,-0.011977969346968322,-1.7906348501771336,-0.08852628447901524,-3.446700822710412,0.30434782608695654,23,-3.028863900955118,EURPLN.,MA10/50,0.107094814583539
5816,-0.02079458449065851,-3.1223685243102066,-0.702516378204136,-5.039699051975434,0.13043478260869565,23,-5.258317539029124,EURPLN.,MA20/100,0.107094814583539
5816,-0.016927229260014495,-2.555451752804761,-0.8410429323757842,-3.640811291186389,0.21739130434782608,23,-4.280381103314968,EURPLN.,MA50/200,0.107094814583539
5816,-0.017331810740517227,-2.5808555179155532,-0.3660320392591065,-4.554895314972868,0.30434782608695654,23,-4.382687446384702,EURPLN.,モメ20,0.107094814583539
5816,-0.02635245723161617,-3.9412773400000396,-1.450476159999178,-5.380903761070928,0.08695652173913043,23,-6.663734402568679,EURPLN.,モメ60,0.107094814583539
5816,-0.024685873020597965,-3.703144512644933,-1.436175484596696,-4.919205561700674,0.21739130434782608,23,-6.242305977730337,EURPLN.,モメ120,0.107094814583539
5816,-0.016136226519756824,-2.4567741634347375,-1.4253417574658154,-2.4233109804978765,0.21739130434782608,23,-4.080360584300246,EURPLN.,モメ250,0.107094814583539
