A,B,W,zin,H,n,mean,t,first,second,sum
US500Cash,US2000Cash,72,2.0,24,871,-0.038681896727742325,-1.464126898046838,-0.03880992142885529,-0.038608276736867245,-33.69193204986357
US500Cash,US2000Cash,72,2.0,72,688,-0.06335090110897111,-1.6295547652293627,-0.08196164510926146,-0.05169168796458119,-43.585419962972125
US500Cash,US2000Cash,72,2.5,6,708,-0.033263985312525134,-1.879356254860169,-0.04364632600317269,-0.026670119977818242,-23.550901601267793
US500Cash,US2000Cash,72,2.5,24,573,-0.05255435432750852,-1.6722015591873673,-0.03928866304481666,-0.0608830980021531,-30.11364502966238
US500Cash,US2000Cash,72,2.5,72,508,-0.07375745830905056,-1.5853460620545354,-0.09978415854844862,-0.05740735174840303,-37.46878882099769
US500Cash,US2000Cash,168,1.5,6,1283,-0.025475987334279183,-1.658754223028988,0.0012978902028803817,-0.042572971713052854,-32.68569174988019
US500Cash,US2000Cash,168,1.5,24,866,-0.034622327854890424,-1.2358936170218282,-0.05571280739565569,-0.02232276117572384,-29.982935922335106
US500Cash,US2000Cash,168,1.5,72,591,-0.024549686392355392,-0.507533223750028,-0.057019550017939805,-0.005155524605181974,-14.508864657882036
US500Cash,US2000Cash,168,2.0,6,859,-0.031526403108709015,-1.6139368390196898,-0.05687140817112962,-0.015559530849271365,-27.081180270381047
US500Cash,US2000Cash,168,2.0,24,580,-0.021106747249581573,-0.6018880924735001,-0.008328007253222514,-0.028689735818849572,-12.241913404757312
US500Cash,US2000Cash,168,2.0,72,409,-0.03760359902631356,-0.626503451843711,-0.08787595083558161,-0.006605627159729316,-15.379872001762244
US500Cash,US2000Cash,168,2.5,6,461,0.005286091559335137,0.17892123054537773,0.0011987021951496983,0.008177541072518193,2.436888208853498
US500Cash,US2000Cash,168,2.5,24,324,-0.08967025823187905,-1.746218815478651,-0.13280268896525915,-0.058861379136607495,-29.05316366712881
US500Cash,US2000Cash,168,2.5,72,257,-0.06830545622095162,-0.8836360765623064,-0.07337361125490616,-0.06451295925676795,-17.554502248784566
US500Cash,US2000Cash,336,1.5,6,888,-0.06628149032147186,-4.163389432661332,-0.09090758058379651,-0.05033621109781453,-58.85796340546702
US500Cash,US2000Cash,336,1.5,24,576,-0.13784011972782087,-4.091911244477913,-0.20379027961777132,-0.0988530086326568,-79.39590896322483
US500Cash,US2000Cash,336,1.5,72,394,-0.10817232216451611,-1.7348374061777372,-0.1798495658757132,-0.06597523514098877,-42.61989493281935
US500Cash,US2000Cash,336,2.0,6,619,-0.02814170198547378,-1.0637900546153687,-0.03622404381619449,-0.023362939463453834,-17.41971352900827
US500Cash,US2000Cash,336,2.0,24,426,-0.04398388644414576,-0.930002666748891,-0.14762884193151082,0.015899865615220714,-18.737135625206093
US500Cash,US2000Cash,336,2.0,72,284,0.00569378353562571,0.06569070235415332,0.029275006787221947,-0.008138777589612275,1.6170345241177015
US500Cash,US2000Cash,336,2.5,6,328,-0.054917150976378636,-1.2253427626741409,-0.15066681466757603,0.011219214665994789,-18.012825520252193
US500Cash,US2000Cash,336,2.5,24,223,-0.039783108089415965,-0.597171331056188,-0.09706330742617665,-0.0024449040773053,-8.871633103939761
US500Cash,US2000Cash,336,2.5,72,169,0.03480867660361488,0.27174524613266426,-0.10381310576569906,0.11930195347633954,5.8826663460109145
GER40Cash,EU50Cash,24,1.5,6,2839,-0.04074393902861758,-11.553229070827006,-0.04344344029112388,-0.03895376010116758,-115.67204290224531
GER40Cash,EU50Cash,24,1.5,24,1906,-0.0432288624671139,-6.557072901212887,-0.04769801702799348,-0.04035473375813445,-82.3942118623191
GER40Cash,EU50Cash,24,1.5,72,1679,-0.05136419388048342,-6.567397826343023,-0.058833760439751394,-0.04655031063268879,-86.24048152533166
