n,win,pf,tot,a,b,e3,e4,wy,worst,dd,y10,n10,pf10,win10,worst10,dd10,wy10,hold,tp,stop,rsith,kind,lab,beat4,beat4dd,rank26,rank10
1163,48.58125537403267,1.0454686362514545,59.96578772158452,-49.842829321082554,109.80861704266707,57.96660007049993,86.69726667719996,14,-37.72755776680003,-101.25846290037406,144.6638667476999,562,1.2560030640415256,52.49110320284698,-9.967599989700036,-33.16766674600005,8,2,10.0,6.0,,grid,H2 TP10.0 ST6.0 RSI∞ grid,False,False,420.0,407.0
1168,49.05821917808219,1.0556581011398327,73.5080211386546,-52.009495906512534,125.51751704516711,47.126600070499926,116.92116665420001,15,-42.51089105230004,-108.69512946030405,164.04776672469993,563,1.295784311945613,53.46358792184724,-6.255999989700027,-34.08766674600004,8,2,10.0,,50.0,grid,H2 TP10.0 ST∞ RSI50 grid,False,False,387.0,339.0
1162,48.62306368330464,1.0465144059736036,61.28368774925459,-50.49782931891252,111.7815170681671,49.16660007049993,100.02016667719998,14,-37.72755776680003,-104.46346287270407,149.18676674769992,561,1.26613710878289,52.584670231729056,-7.245999989700026,-33.16766674600004,8,2,10.0,,,grid,H2 TP10.0 ST∞ RSI∞ grid,False,False,418.0,397.0
1227,46.780766096169515,1.089205417941513,114.98127693679564,-24.606903414459936,139.58818035125555,70.28727340756478,73.95324667762787,17,-29.06134166244803,-91.9679214062996,144.24052008519266,589,1.2576429118834431,50.93378607809848,-3.426400000000038,-26.83686674600008,8,2,,2.0,50.0,grid,H2 TP∞ ST2.0 RSI50 grid,False,False,329.0,409.0
1220,46.47540983606557,1.0817153399736106,104.87550354739562,-25.30723682685993,130.1827403742556,72.45727340756478,61.2528067006279,18,-27.672783199390064,-87.94234638861553,133.71008010819267,586,1.2391352068195878,50.34129692832765,-3.426400000000038,-25.91686674600008,8,2,,2.0,,grid,H2 TP∞ ST2.0 RSI∞ grid,False,False,341.0,443.0
1181,48.602878916172735,1.0468112424438727,61.553228612329086,-69.8163083267908,131.36953693911988,69.11384336279284,95.78886998261989,15,-36.45660639163805,-125.57714845664718,164.90271334541274,569,1.298738629106003,53.075571177504386,-3.8387666612800815,-31.014899959680044,9,2,,3.0,50.0,grid,H2 TP∞ ST3.0 RSI50 grid,False,False,417.0,333.0
1175,48.17021276595745,1.0338241995180373,44.53503522292904,-71.13264173919082,115.66767696211986,71.28384336279284,76.79201000561987,15,-30.676606391638046,-121.34548186904716,148.0758533684127,567,1.264403942992675,52.20458553791887,-4.828766661280081,-31.014899959680044,9,2,,3.0,,grid,H2 TP∞ ST3.0 RSI∞ grid,False,False,455.0,399.0
1172,48.80546075085324,1.0435770118686205,57.33204772663431,-55.59816259069268,112.930210317327,54.68620006659989,92.37905999605998,15,-41.61929105230005,-105.65984040864154,147.06526006265986,564,1.2642637455434893,53.01418439716312,-11.830266647840057,-35.908999946240016,9,2,,4.0,50.0,grid,H2 TP∞ ST4.0 RSI50 grid,False,False,433.0,402.0
1166,48.3704974271012,1.033409562957842,43.89371433723433,-55.430496003092685,99.32421034032697,56.85620006659989,75.47806001905997,15,-36.83595776680005,-99.49721240772556,132.33426008565988,562,1.235280395978369,52.135231316725985,-12.820266647840057,-35.908999946240016,9,2,,4.0,,grid,H2 TP∞ ST4.0 RSI∞ grid,False,False,456.0,448.0
1169,49.01625320786997,1.0443343685480846,58.611121110984506,-55.64749590868256,114.25861701966708,47.97060007049993,102.26826665419996,15,-42.51089105230004,-109.78312948797408,150.2388667246999,564,1.2686951463300835,53.36879432624113,-8.977599989700035,-34.08766674600004,8,2,,6.0,50.0,grid,H2 TP∞ ST6.0 RSI50 grid,False,False,426.0,390.0
1163,48.58125537403267,1.0352710267114118,46.51678772158449,-54.135829321082554,100.65261704266707,50.14060007049992,85.36726667719995,14,-37.72755776680003,-105.55146290037409,135.50786674769992,562,1.2398002339426164,52.49110320284698,-9.967599989700036,-33.16766674600004,8,2,,6.0,,grid,H2 TP∞ ST6.0 RSI∞ grid,False,False,451.0,434.0
1168,49.05821917808219,1.0453764836555013,59.92902113865459,-56.30249590651253,116.23151704516711,39.17060007049992,115.59116665420001,15,-42.51089105230004,-112.98812946030404,154.76176672469992,563,1.2790413036403776,53.46358792184724,-6.255999989700027,-34.08766674600004,8,2,,,50.0,grid,H2 TP∞ ST∞ RSI50 grid,False,False,421.0,379.0
